Study Name,Year,No. of,No of,Drug,Sponsor,No.,Mean,%,Dose,Dosing,Mean,Baseline,Mean,Length,Diagno,Recruitmen,Multi/,Treatment,Patient,Placeb,Rescue,,
CN104‐045,unpublis,2,2,nefazodone,Yes,*,*,0.63,100‐400,Other/U,*,*,,*,6,Unclear,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
CN104‐054,unpublis,3,3,nefazodone,Yes,*,*,0.68,100‐600,Fixed,*,*,,*,8,Unclear,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Cohn 1985a,1985,2,3,fluoxetine,Yes,54,41 (*),0.72,20‐80,Flexible,*,HAM,D,25.75,6,DSM‐III,North,Single,Unclear,Outpatients,Yes,Unclear,
Cohn 1990,1990,2,2,sertraline,Unclear,161,70.2,0.50,50‐200,Flexible,116,HAMD,17,23.7,8,DSM‐III,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Cohn 1996,1996,2,3,nefazodone,Yes,43,39.4,0.77,200‐600,Flexible,321,HAMD,17,22.80,8,DSM‐,North,Single,Unclear,Outpatients,Unclear,No,
Coleman 1999,1999,3,3,sertraline,No,118,38.3,*,50‐200,Flexible,106,HAMD,31,34.80,8,DSM‐IV,North,Multi‐,Secondary,Outpatients,Unclear,No,
Coleman 2001,2001,3,3,fluoxetine,No,154,37.1,*,20‐60,Flexible,26,HAMD,21,24.50,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,No,Unclear,
Colonna 2005,2005,2,2,escitalopram,Yes,175,46,*,10‐10,Fixed,10,MADR,S,29.50,8,DSM‐IV,Europe,Multi‐,Primary,Outpatients,Yes,Unclear,
Corrigan 2000,2000,2,5,fluoxetine,No,35,42 (*),*,20‐20,Fixed,20,HAMD,17,22.00,8,DSM‐,North,Multi‐,Secondary,Unclear,Yes,Unclear,
Corruble 2013,2008,2,2,agomelatine,Yes,164,43.6,0.73,25‐50,Flexible,*,HAMD,17,26.80,25,DSM‐IV,Cross‐,Multi‐,Primary,Outpatients,No,No,
Costaesilva,1998,2,2,fluoxetine,No,186,39.8,*,20‐40,Flexible,*,HAMD,17,29.70,8,DSM‐,South,Multi‐,Unclear,Outpatients,No,Unclear,
Croft 1999,1999,3,3,sertraline,No,119,36,*,50‐200,Flexible,121,HAMD,29,33.10,8,DSM‐IV,North,Multi‐,Unclear,Unclear,No,No,
Croft 2014,2014,2,2,vilazodone,Yes,260,39.3,0.51,40‐40,Fixed,40,MADR,S,30.60,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,No,Yes,
Cunningham,1994,3,3,venlafaxine,Yes,76,42 (*),0.63,75‐200,Flexible,160,HAMD,21,25.02,6,DSM‐,North,Multi‐,Unclear,Outpatients,Yes,Yes,
Cunningham,1997,3,3,venlafaxine,Yes,97,39.7,0.63,75‐150,Flexible,139,HAMD,21,24.40,12,DSM‐,North,Multi‐,Unclear,Outpatients,Yes,Yes,
Cutler 2009,2009,2,3,duloxetine,No,151,40.2,*,60‐60,Fixed,60,HAMD,17,25.20,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Yes,
Dalery 2003,2003,2,2,fluvoxamine,Yes,90,42 (*),*,100‐100,Fixed,100,HAMD,17,22.30,6,DSM‐,Europe,Multi‐,Secondary,Outpatients,Yes,Yes,
D'Amico 1990,1990,3,5,nefazodone,Yes,47,*,*,200‐200,Fixed,200,HAMD,17,26.10,6,RDC,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Davidson 2002,2002,2,3,sertraline,Unclear,111,43.9,0.67,50‐100,Flexible,75,HAMD,17,22.50,8,DSM‐IV,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Debonnel 2000,2009,2,3,mirtazapine,Yes,21,45.9,0.29,30‐45,Flexible,*,HAMD,17,24.00,6,DSM‐IV,North,Single,Unclear,Unclear,Yes,Yes,
Debus 1988,1988,2,2,fluoxetine,Yes,22,35.4,*,20‐60,Flexible,31,HAMD,21,23.40,6,DSM‐III,North,Multi‐,Both,Outpatients,Yes,No,
DeMartinis,2007,2,4,placebo,No,120,40,0.68,0‐0,Fixed,0,HAMD,17,23.1,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Demyttenaere,1998,2,2,amitriptyline,No,31,42.1,*,150‐150,Fixed,150,HAM,D,23.90,9,DSM‐,Europe,Multi‐,Secondary,Outpatients,Unclear,Unclear,
DeRonchi 1998,1988,2,2,fluoxetine,Unclear,32,69.1,*,20‐20,Fixed,20,HAMD,17,25.60,10,DSM‐,Europe,Multi‐,Secondary,Outpatients,Yes,Yes,
Detke 2002a,2002,2,2,duloxetine,Yes,123,42.44,*,60‐60,Fixed,60,HAMD,17,21.50,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Detke 2002b,2002,2,2,duloxetine,Yes,128,40.83,*,60‐60,Fixed,60,HAMD,17,20.28,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Detke 2004,2004,4,4,duloxetine,Yes,95,43.09,*,80‐80,Fixed,80,HAMD,17,19.88,8,DSM‐IV,Unspecified,Multi‐,Unclear,Outpatients,Yes,Unclear,
Deushle 2003,2003,2,2,amitriptyline,No,14,49.5,0.64,150‐150,Fixed,150,HAMD,21.64,5,DSM‐IV,Europe,Unclear,nclear,Inpatients,Unclear,Yes,,
DeWilde 1983a,1983,2,2,fluvoxamine,Yes,22,*,*,100‐300,Flexible,300,HAMD 17,23.40,6,Feighne,Europe,Single,Secondary,Outpatients,Unclear,Yes,,
DeWilde 1993,1993,2,2,paroxetine,Yes,49,43.9,*,20‐40,Flexible,*,HAMD 21,27.00,6,DSM‐III,Europe,Multi‐,Other/Unc,Other/Unclea,Yes,Unclear,,
Dierick 1996,1996,2,2,fluoxetine,No,161,43.2,0.64,20‐20,Fixed,20,HAMD 17,26.60,8,DSM‐,Europe,Multi‐,Unclear,Outpatients,Unclear,Unclear,,
Dimidjian 2006,2006,2,4,paroxetine,No,100,39.9,0.68,*‐50,Flexible,32,HAMD 17,20.87,16,DSM‐IV,North,Unclear,Secondary,Outpatients,No,Unclear,,
Dominguez,1985,2,3,fluvoxamine,Unclear,35,*,*,100‐300,Flexible,*,HAMD 17,20.40,4,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,,
Doogan 1994,1994,2,3,sertraline,Yes,99,46 (*),0.71,50‐100,Flexible,62,MADRS,27.9,6,DSM‐,Europe,Multi‐,Primary,Outpatients,Yes,Yes,,
DUAG 1990,1990,2,2,paroxetine,Unclear,62,*,*,30‐30,Fixed,30,HAMD 17,23.12,6,DSM‐III,Europe,Multi‐,Secondary,Inpatients,Yes,Yes,,
Dube 2010,2010,2,3,escitalopram,No,62,34.3,0.36,10‐20,Flexible,15,HAMD21,*,8,DSM‐IV,Cross‐,Multi‐,Secondary,Outpatients,Unclear,Yes,,
Dunbar 1993a,1993,2,2,paroxetine,Yes,55,43.4,0.69,20‐50,Flexible,*,HAMD 21,26.80,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,,
Dunbar 1993b,1993,2,2,paroxetine,Yes,36,34.5,0.41,20‐50,Flexible,*,HAMD 21,25.00,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,,
Dunbar 1993c,1993,2,2,paroxetine,Yes,39,44.9,0.46,20‐50,Flexible,*,HAMD 21,28.60,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,,
Dunbar 1993d,1993,2,2,paroxetine,Yes,40,34.9,0.41,20‐50,Flexible,*,HAMD 21,28.80,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,,
Dunlop 2011,2011,2,2,desvenlafaxi,Yes,291,43.2,0.66,50‐50,Fixed,50,HAMD 17,22,12,DSM‐IV,North,Multi‐,Secondary,Outpatients,Unclear,Yes,,
Dunner 1992,1992,4,5,paroxetine,Yes,106,41.6,*,20‐20,Fixed,20,HAMD 21,25.19,6,DSM‐III,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,,
E‐1569,unpublis,2,2,mirtazapine,Yes,73,46.5,0.68,30‐45,Flexible,*,HAMD 17,24.60,6,DSM‐IV,Europe,Multi‐,Other/Unc,Outpatients,Yes,Unclear,,
Edwards 1989,1989,2,2,paroxetine,Yes,21,45.1,0.55,30‐30,Fixed,30,HAMD 17,26.80,6,DSM‐III,Europe,Single,Secondary,Outpatients,Unclear,Yes,,
Ekselius 1997,1997,2,2,citalopram,No,200,48.1,*,20‐60,Flexible,34,MADRS,28.30,12,DSM‐,Europe,Multi‐,Primary,Outpatients,Yes,No,,
Faber 1995,1995,4,4,sertraline,Yes,95,37 (*),0.51,50‐50,Fixed,50,HAMD17,24.80,6,DSM‐III,North,Multi‐,Other/Unc,Outpatients,Yes,Yes,,
Fabre 1979,1979,2,3,trazodone,Yes,13,*,*,200‐300,Flexible,287,HAMD,*,4,Other,North,Unclear,Secondary,Unclear,Yes,Yes,,
Fabre 19,96,1996,2,3,fluvoxamine,Yes,50,45 (*),*,50‐150,Flexible,119,HAMD 21,27.70,6,DSM‐,North,Single,Secondary,Outpatients,Yes,Yes,
Fava 199,8,1998,3,3,paroxetine,Yes,55,41.3,*,20‐50,Flexible,*,HAMD 21,23.10,12,DSM‐,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Fava 200,2,2002,3,3,sertraline,No,96,44,*,50‐200,Flexible,108,HAMD 17,21.00,10,DSM‐IV,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Fava 200,5,2005,2,3,placebo,No,43,37.8,*,0‐0,Fixed,0,HAMD 17,19.90,12,DSM‐IV,North,Multi‐,Secondary,Outpatients,Yes,Unclear,
Fawcett 1,989,1989,2,2,amitriptyline,No,20,44.5,*,50‐200,Flexible,*,HAMD 21,23.50,6,DSM‐III,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Feiger 19,96,1996,2,2,nefazodone,Yes,78,44.5,0.55,100‐600,Flexible,456,HAMD 17,23.30,6,DSM‐,North,Multi‐,Other/Unc,Outpatients,Unclear,Yes,
Feighner,1979,1979,2,4,amitriptyline,No,93,40.9,*,100‐150,Flexible,115,HAMD 24,36,4,Feighne,North,Multi‐,Secondary,Outpatients,Yes,Unclear,
Feighner,1980,1980,2,3,trazodone,Yes,19,*,0.65,200‐600,Flexible,313,HAMD,35.40,4,Feighne,North,Unclear,Secondary,Inpatients,Yes,Unclear,
Feighner 1984,1984,2,2,bupropion,Yes,45,43.9,*,300‐600,Flexible,392,HAMD,21,31.00,4,Feighne,North,Unclear,Secondary,Inpatients,No,Yes,
